./generate_strategies.sh -g -o table_no_layer.csv
 ; ; ; ; No strategy ; ; ; ; ; Subsumption ; ; ; ; ; AcceptFirst ; ; ; ; ; Lookahead ; ; ; ; ; Accept+Look ; ; ; ; ; A + L + Sub ; ; ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t
lynch5 ; 45 ; 5 ; 1 ;10 ; 9 ; 1 ; 24 ; TO ; 10 ; 9 ; 1 ; 24 ; 0.029 ; 10 ; 9 ; 1 ; 23 ; TO ; 7 ; 7 ; 1 ; 19 ; 0.024 ; 7 ; 7 ; 1 ; 19 ; 0.025 ; 7 ; 7 ; 1 ; 19 ; 0.027
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;544 ; 82 ; 29 ; 3242 ; TO ; 544 ; 81 ; 29 ; 3244 ; TO ; 280 ; 29 ; 32 ; 2149 ; TO ; 560 ; 36 ; 60 ; 2230 ; TO ; 73 ; 29 ; 81 ; 1660 ; TO ; 73 ; 29 ; 81 ; 1660 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;997 ; 756 ; 10 ; 2955 ; TO ; 997 ; 756 ; 10 ; 2957 ; TO ; 120 ; 39 ; 34 ; 1303 ; TO ; 110 ; 50 ; 64 ; 2402 ; TO ; 101 ; 39 ; 69 ; 1699 ; TO ; 101 ; 39 ; 69 ; 1699 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;687 ; 448 ; 2 ; 1173 ; TO ; 689 ; 448 ; 4 ; 1181 ; TO ; 192 ; 69 ; 19 ; 845 ; TO ; 132 ; 57 ; 22 ; 865 ; TO ; 122 ; 50 ; 21 ; 699 ; TO ; 122 ; 50 ; 21 ; 699 ; TO
RCP ; 48 ; 6 ; 5 ;74 ; 8 ; 12 ; 237 ; TO ; 74 ; 8 ; 12 ; 237 ; 0.710 ; 74 ; 8 ; 12 ; 237 ; TO ; 74 ; 8 ; 12 ; 237 ; 0.698 ; 74 ; 8 ; 12 ; 237 ; 0.694 ; 74 ; 8 ; 12 ; 237 ; 0.695
Sched2.100.0 ; 17 ; 6 ; 2 ;132 ; 3 ; 19 ; 872 ; TO ; 132 ; 3 ; 19 ; 872 ; 4.536 ; 132 ; 2 ; 19 ; 869 ; TO ; 132 ; 3 ; 19 ; 872 ; 4.584 ; 132 ; 2 ; 19 ; 869 ; 4.502 ; 132 ; 2 ; 19 ; 869 ; 4.545
Sched2.100.2 ; 17 ; 6 ; 2 ;990 ; 3 ; 21 ; 2186 ; TO ; 990 ; 3 ; 21 ; 2162 ; TO ; 990 ; 2 ; 21 ; 2185 ; TO ; 990 ; 3 ; 21 ; 2206 ; TO ; 990 ; 2 ; 21 ; 2247 ; TO ; 990 ; 2 ; 21 ; 2260 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;132 ; 7 ; 19 ; 756 ; TO ; 132 ; 7 ; 19 ; 756 ; 3.366 ; 132 ; 6 ; 19 ; 752 ; TO ; 132 ; 7 ; 19 ; 756 ; 3.330 ; 132 ; 6 ; 19 ; 752 ; 3.299 ; 132 ; 6 ; 19 ; 752 ; 3.336
Sched2.50.2 ; 17 ; 6 ; 2 ;1468 ; 7 ; 22 ; 2939 ; TO ; 1484 ; 7 ; 22 ; 2955 ; TO ; 1403 ; 6 ; 22 ; 2846 ; TO ; 1469 ; 7 ; 22 ; 2940 ; TO ; 1484 ; 6 ; 22 ; 2951 ; TO ; 1401 ; 6 ; 22 ; 2844 ; TO
simop ; 46 ; 8 ; 2 ;2331 ; --- ; 0 ; 2332 ; TO ; 2312 ; --- ; 0 ; 2313 ; TO ; 2329 ; --- ; 0 ; 2330 ; TO ; 2344 ; --- ; 0 ; 2345 ; TO ; 2368 ; --- ; 0 ; 2369 ; TO ; 2364 ; --- ; 0 ; 2365 ; TO
